"caminho","formato","objetivo","concurso","disciplina","total","válidas","inválidas","únicas","duplicadas","sem enunciado","sem resposta","sem alternativas","erro estrutura","erro parser","mock","oficial","autoral","extraída","importada"
"src/data/apostilas/direito-processual-penal-avancado.js","JS","OAB","","Direito Processual Penal","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/direito-processual-penal-militar-avancado.js","JS","Corpo de Bombeiros","","Direito Penal","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/direitos-humanos-atividade-policial-casos-praticos.js","JS","Polícia Militar","","Raciocínio Lógico-Matemático","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/gestao-pessoas-servico-publico.js","JS","Tribunais","","Direito Administrativo","260","0","260","0","0","0","200","60","0","0","0","0","260","0","260"
"src/data/apostilas/governanca-integridade-compliance-publico.js","JS","Tribunais","","Direito Administrativo","260","0","260","0","0","0","200","60","0","0","0","0","260","0","260"
"src/data/apostilas/guarda-municipal-base-de-estudos.js","JS","Polícia Militar","","Raciocínio Lógico-Matemático","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/legislacao-institucional-pmma-avancada.js","JS","Polícia Militar","","Direito Constitucional","220","0","220","0","0","0","220","0","0","0","0","0","220","0","0"
"src/data/apostilas/legislacao-institucional-pmma-simulados-comentados.js","JS","Polícia Militar","","Raciocínio Lógico-Matemático","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/legislacao-penal-especial-avancada.js","JS","OAB","","Direito Penal","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/legislacao-pmma-questoes-por-artigo.js","JS","Polícia Militar","","Direito Constitucional","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/licitacoes-contratos-modulo-exclusivo.js","JS","Tribunais","","Direito Administrativo","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/ordem-publica-defesa-social-seguranca-cidada.js","JS","Guarda Municipal","","Raciocínio Lógico-Matemático","260","0","260","0","0","0","200","60","0","0","0","0","260","0","260"
"src/data/apostilas/organizacao-judiciaria.js","JS","Tribunais","","Direito Constitucional","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/policia-comunitaria-mediacao-conflitos.js","JS","Guarda Municipal","","Raciocínio Lógico-Matemático","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/policia-penal-base-de-estudos.js","JS","Polícia Militar","","Direito Constitucional","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/prf-base-de-estudos.js","JS","Polícia Militar","","Direito Penal","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/regimentos-internos-tribunais.js","JS","Tribunais","","Direito Administrativo","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/uso-diferenciado-da-forca-atuacao-policial.js","JS","Guarda Municipal","","Raciocínio Lógico-Matemático","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"storage/content/militar/cbmal-soldado-combatente-2018-cebraspe/metadata.json","JSON","Corpo de Bombeiros","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"storage/content/militar/cbmal-soldado-combatente-2018-cebraspe/questoes/questoes-extraidas.json","JSON","Corpo de Bombeiros","militar","Direito Administrativo","70","0","70","0","0","0","0","70","0","0","0","70","0","70","70"
"storage/content/militar/cbmam-soldado-bombeiro-militar-2021-fgv/metadata.json","JSON","Corpo de Bombeiros","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"storage/content/militar/pcam-delegado-2021-fgv/metadata.json","JSON","Polícia Civil","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"storage/content/militar/pcrj-inspetor-2021-fgv/metadata.json","JSON","Polícia Civil","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"storage/content/militar/pcrj-investigador-2021-fgv/metadata.json","JSON","Polícia Civil","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"storage/content/militar/pcrn-delegado-2021-fgv/metadata.json","JSON","Polícia Civil","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"storage/content/militar/pcsc-delegado-2024-fgv/metadata.json","JSON","Polícia Civil","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"storage/content/militar/pm-ba-soldado-2023-fcc/metadata.json","JSON","Polícia Militar","militar","","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1"
"storage/content/militar/pm-pb-soldado-pm-combatente-2023-ibfc/metadata.json","JSON","Polícia Militar","militar","","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1"
"storage/content/militar/pm-se-soldado-pm-3a-classe-combatente-2025-selecon/metadata.json","JSON","Polícia Militar","militar","","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1"
"storage/content/militar/pmac-oficial-combatente-2023-fgv/metadata.json","JSON","Polícia Militar","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"storage/content/militar/pmal-soldado-combatente-2018-cebraspe/metadata.json","JSON","Polícia Militar","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"storage/content/militar/pmal-soldado-combatente-2018-cebraspe/questoes/questoes-extraidas.json","JSON","Polícia Militar","militar","","116","0","116","0","0","0","0","116","0","0","0","116","0","116","116"
"storage/content/militar/pmam-oficial-2021-fgv/metadata.json","JSON","Polícia Militar","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"storage/content/militar/pmam-soldado-2021-fgv/metadata.json","JSON","Polícia Militar","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"storage/content/militar/pmce-soldado-2021-fgv/metadata.json","JSON","Polícia Militar","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"storage/content/militar/pmerj-cfo-2021-fgv/metadata.json","JSON","Polícia Militar","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"storage/content/militar/pmesp-cabo-2022-fgv-local/metadata.json","JSON","Polícia Militar","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"storage/content/militar/pmesp-sargento-2024-fgv/metadata.json","JSON","Polícia Militar","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/metadata.json","JSON","Polícia Militar","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
"storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/questoes/questoes-extraidas.json","JSON","Polícia Militar","militar","Informática","115","0","115","0","0","0","0","115","0","0","0","115","0","115","115"
"storage/content/militar/pmpb-cfo-2022-fgv/metadata.json","JSON","Polícia Militar","militar","","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1"
