"path","fileClass","contentType","isPedagogicalContent","extractionStatus","objectiveCanonical","institution","contestCanonical","position","banca","year","disciplineCanonical","subjectCanonical","interfaceConnection","hash","size","classificationConfidence","classificationEvidence"
"src/contexts/index.js","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","03cf0432eb0b02fd8783fc3701f65f615001694d314b485567a8850dc9766439","397","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/contexts/NotificationContext.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","892d01e2864069c6a8f7a3865b770fbe6fc3d4f9ac62b31ab5ac11f7f93aa63d","1468","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/contexts/PreferencesContext.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","d47aa54853c855e96fca1b6c5c8a71bf11346e37fe3ef9f76ad7e3941fd81f68","967","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/contexts/RouterContext.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","597423214618006a953445feff5abdc1a277dfb3c8a319cc85cce76df97a242e","1194","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/contexts/ThemeContext.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","68e29d3354c9ccc9b6b199a02f8d6918eff8e5acbfd389d4f2a4099dda2397ca","918","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/contexts/UserContext.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","06b18c17510f09bb5f4dbf6e4acc250527b3dc654aba2cf36f03d20b62acc332","20109","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/data/apostilas/administracao-financeira-orcamentaria.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","Concursos Fiscais","","","","","2026","","orçamento como lei, plano financeiro e instrumento de controle democrático","direct-ui-connection","3e920926ecbccee0cef2400133807a2673a4cccc194d5aee67dcc8872239ec2e","201372","alta","pedagogical-content; apostila/módulo; área fiscal; sem disciplina confiável"
"src/data/apostilas/administracao-publica-gestao-publica.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","","","","","","2026","Direito Administrativo","diferença entre Estado, governo e Administração, separando função política de execução administrativa","direct-ui-connection","e50787241be711ef59e61c36c7a8645e95ebe8c1b9563b6ddbb9f446ba036548","213908","alta","pedagogical-content; apostila/módulo; sem evidência confiável; diretório/estrutura"
"src/data/apostilas/arquivologia.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","Concursos Administrativos","","","","","2026","","arquivo como conjunto org[caractere ilegivel]nico de documentos produzidos por atividade institucional","direct-ui-connection","63683ef5f482f632c8d7abe858b45858fe06a57ea2666ff43587672e696133fb","198447","alta","pedagogical-content; apostila/módulo; área administrativa; sem disciplina confiável"
"src/data/apostilas/atendimento-publico-qualidade-servico-publico.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","","","","","","2026","","atendimento como expressão concreta de cidadania, eficiência e respeito","direct-ui-connection","bd3c9980e8a481f774f875336d3b27fd61688078ab9a0f25e5e482bdd149c04e","201655","alta","pedagogical-content; apostila/módulo; sem evidência confiável; sem disciplina confiável"
"src/data/apostilas/atualidades-avancada.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","OAB","OAB/FGV","","","","2026","Atualidades","leitura cr[caractere ilegivel]tica de fatos","direct-ui-connection","7f02e269e69967757f985e3e87561d5ee9e255c868e6c50d105649d9d73bc204","120919","alta","pedagogical-content; apostila/módulo; diretório/metadado OAB; diretório/estrutura"
"src/data/apostilas/atualidades.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","","","","Soldado","","2026","Atualidades","M[caractere ilegivel]todo de estudo","direct-ui-connection","cfd238277511543068087f9fd8c0a4c2832e1cb31e9f4ae90cb542aca5b7f0b8","492552","alta","pedagogical-content; apostila/módulo; sem evidência confiável; diretório/estrutura"
"src/data/apostilas/banco-repertorios-redacao.js","pedagogical-content","redação","true","leitura bem-sucedida","OAB","OAB/FGV","","","","2026","Redação","Constitui[caractere ilegivel][caractere ilegivel]o, cidadania e dignidade humana","direct-ui-connection","25c32c8a56ee48aa81d558e95ad75ae4faa675d2ef3cc287be679e08d02a3d11","228143","alta","pedagogical-content; redação; diretório/metadado OAB; diretório/estrutura"
"src/data/apostilas/banco-temas-redacao-policial.js","pedagogical-content","redação","true","leitura bem-sucedida","OAB","OAB/FGV","","","","2026","Redação","Viol[caractere ilegivel]ncia urbana, preven[caractere ilegivel][caractere ilegivel]o e responsabilidade compartilhada","direct-ui-connection","a835f8a37877c51009dfa363f43485d7e56fda18f01a532bb8c7ab16e4eccbda","243473","alta","pedagogical-content; redação; diretório/metadado OAB; diretório/estrutura"
"src/data/apostilas/biologia-enem.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","ENEM","INEP","","","","2026","Biologia","Citologia, membranas e metabolismo celular","direct-ui-connection","6277ac6251678fbd60b43ad3a584530caa3aedb816290748fece2c19116a3faf","173868","alta","pedagogical-content; apostila/módulo; diretório/metadado ENEM; diretório/estrutura"
"src/data/apostilas/caderno-erros-inteligente.js","pedagogical-content","apostila/módulo","true","leitura bem-sucedida","OAB","OAB/FGV","","","","2026","","Erro conceitual, erro de atenção e erro de estratégia","direct-ui-connection","d193741dda77abe02ccb952fb198825ec7bbe54c2b90adbe985fb7334595515a","218042","alta","pedagogical-content; apostila/módulo; diretório/metadado OAB; sem disciplina confiável"
