"fonte","total","validos","unicos","duplicados","objetivo","disciplina","statusContrato","acao"
"src/data/apostilas/oab-2fase-espelhos-correcao.js","80","20","62","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/oab-2fase-pecas-praticas.js","80","22","62","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/oab-2fase-treino-discursivas.js","80","20","62","0","","Redação","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/ordem-publica-defesa-social-seguranca-cidada.js","70","0","43","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/organizacao-judiciaria.js","60","0","33","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/plano-estudo-por-objetivo.js","100","21","82","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/pmma-caderno-de-erros-inteligente.js","70","1","43","0","","Legislação Institucional PMMA","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/pmma-revisao-de-vespera.js","70","2","43","0","","Legislação Institucional PMMA","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/pmma-simulado-final-completo.js","70","1","43","0","","Legislação Institucional PMMA","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/policia-comunitaria-mediacao-conflitos.js","70","0","43","0","","Criminologia e Segurança Pública","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/policia-penal-base-de-estudos.js","70","0","43","0","","Direito Penal","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/portugues-avancado.js","130","23","94","0","","Língua Portuguesa","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/portugues-pmma-interpretacao.js","70","20","70","0","","Legislação Institucional PMMA","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/portugues-pmma-ortografia-morfologia.js","70","20","70","0","","Legislação Institucional PMMA","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/portugues-pmma-sintaxe.js","70","20","70","0","","Legislação Institucional PMMA","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/prf-base-de-estudos.js","70","0","43","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/quimica-enem.js","100","11","82","0","","Química","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/raciocinio-logico.js","70","20","70","0","","Raciocínio Lógico-Matemático","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/redacao-concursos-policiais.js","130","20","94","0","","Redação","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/redacao-enem.js","100","11","82","0","","Redação","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/redacao.js","70","20","70","0","","Redação","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/regimentos-internos-tribunais.js","60","0","33","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/revisao-24h-prova.js","100","21","82","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/revisao-7-dias-prova.js","100","21","82","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/revisao-enem-vespera.js","100","10","82","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/seguranca-publica-avancada-simulados.js","70","1","43","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
