"caminho","tipo","objetivo","disciplina","assunto","onda","mvp","acao","prioridade"
"storage/content/oab/35-exame/provas/caderno-de-provas-direito-constitucional-ayslrl.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/35-exame/provas/caderno-de-provas-direito-empresarial-l5j3rs.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/35-exame/provas/caderno-de-provas-direito-penal-s9kvrg.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/35-exame/provas/caderno-de-provas-direito-tributario-1cx9t0.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/35-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","35o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/36-exame/provas/caderno-de-provas-direito-administrativo-bypn8y.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/36-exame/provas/caderno-de-provas-direito-constitucional-zagls9.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/36-exame/provas/caderno-de-provas-direito-empresarial-13e59d.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/36-exame/provas/caderno-de-provas-direito-penal-g0rvr8.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/36-exame/provas/caderno-de-provas-direito-trabalho-3l9xqq.pdf","prova PDF","OAB","Direito do Trabalho","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/36-exame/provas/caderno-de-provas-direito-tributario-1wnl44.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/36-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","36o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/37-exame/provas/caderno-de-provas-direito-administrativo-1831hr.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/37-exame/provas/caderno-de-provas-direito-constitucional-kiul4n.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/37-exame/provas/caderno-de-provas-direito-empresarial-piv8cj.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/37-exame/provas/caderno-de-provas-direito-penal-g5hmqx.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
