"fonte","formato","total","validos","unicos","duplicados","objetivo","disciplina","acao"
"src/data/apostilas/policia-comunitaria-mediacao-conflitos.js","","70","70","43","27","","Criminologia e Segurança Pública","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/policia-penal-base-de-estudos.js","","70","70","61","9","","Direito Penal","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/portugues-avancado.js","","70","70","70","0","","Língua Portuguesa","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/portugues-pmma-interpretacao.js","","40","30","40","0","","Legislação Institucional PMMA","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/portugues-pmma-ortografia-morfologia.js","","40","30","40","0","","Legislação Institucional PMMA","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/portugues-pmma-sintaxe.js","","40","30","40","0","","Legislação Institucional PMMA","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/prf-base-de-estudos.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/quimica-enem.js","","70","70","70","0","","Química","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/raciocinio-logico.js","","40","30","40","0","","Raciocínio Lógico-Matemático","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/redacao-concursos-policiais.js","","70","70","70","0","","Redação","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/redacao-enem.js","","70","70","70","0","","Redação","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/redacao.js","","40","30","40","0","","Redação","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/regimentos-internos-tribunais.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/revisao-24h-prova.js","","70","70","70","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/revisao-7-dias-prova.js","","70","70","70","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/revisao-enem-vespera.js","","70","70","70","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/seguranca-publica-avancada-simulados.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/simulados-por-banca.js","","70","70","70","0","","","deduplicar por politica, sem exclusao automatica"
