"canonicalId","concursoEdicao","objetivo","instituicao","conteudos","confidence","requiresReview"
"contest:pcrj-inspetor-de-policia-de-6a-classe-2021","PCRJ Inspetor de Policia de 6a Classe 2021","Polícia Civil","PCRJ","1","baixa","sim"
"contest:pcrj-investigador-policial-de-3a-classe-2021","PCRJ Investigador Policial de 3a Classe 2021","Polícia Civil","PCRJ","1","baixa","sim"
"contest:pcrj-inspetor-2021-fgv","pcrj-inspetor-2021-fgv","Polícia Civil","PCRJ","1","baixa","sim"
"contest:pcrj-investigador-2021-fgv","pcrj-investigador-2021-fgv","Polícia Civil","PCRJ","1","baixa","sim"
"contest:pcrn-delegado-de-policia-civil-substituto-2021","PCRN Delegado de Policia Civil Substituto 2021","Polícia Civil","PCRN","1","baixa","sim"
"contest:pcrn-delegado-2021-fgv","pcrn-delegado-2021-fgv","Polícia Civil","PCRN","1","baixa","sim"
"contest:pcsc-delegado-de-policia-substituto-2024","PCSC Delegado de Policia Substituto 2024","Polícia Civil","PCSC","1","baixa","sim"
"contest:pcsc-delegado-2024-fgv","pcsc-delegado-2024-fgv","Polícia Civil","PCSC","1","baixa","sim"
"contest:pm-pcam2021","PM pcam2021","","","1","baixa","sim"
"contest:pm-pcscdelegado2024","PM pcscdelegado2024","Polícia Civil","PCSC","1","baixa","sim"
"contest:pm-pmac2023","PM pmac2023","","","1","baixa","sim"
"contest:pm-pmam2021","PM pmam2021","","","1","baixa","sim"
"contest:pm-pmesp-sargento-2024","PM pmesp-sargento-2024","Polícia Militar","","1","baixa","sim"
"contest:pm-pmesp2022","PM pmesp2022","","","1","baixa","sim"
"contest:pm-pmespcabo2022","PM pmespcabo2022","","","1","baixa","sim"
"contest:pm-pmpb2021","PM pmpb2021","","","1","baixa","sim"
"contest:pm-ba-soldado-2023","PM-BA Soldado 2023","Polícia Militar","","1","baixa","sim"
"contest:pm-pb-soldado-pm-combatente-2023","PM-PB Soldado PM Combatente 2023","Polícia Militar","","1","baixa","sim"
"contest:pm-se-soldado-pm-3a-classe-combatente-2025","PM-SE Soldado PM - 3a Classe - Combatente 2025","Polícia Militar","","1","baixa","sim"
"contest:pmac-aluno-oficial-combatente-2023","PMAC Aluno Oficial Combatente 2023","Polícia Militar","","1","baixa","sim"
"contest:pmac-oficial-combatente-2023-fgv","pmac-oficial-combatente-2023-fgv","Polícia Militar","","1","baixa","sim"
"contest:pmal-soldado-combatente-2018","PMAL Soldado Combatente 2018","Polícia Militar","PMAL","1","baixa","sim"
"contest:pmam-aluno-oficial-pm-2021","PMAM Aluno Oficial PM 2021","Polícia Militar","","1","baixa","sim"
"contest:pmam-aluno-soldado-pm-2021","PMAM Aluno Soldado PM 2021","Polícia Militar","","1","baixa","sim"
"contest:pmam-oficial-2021-fgv","pmam-oficial-2021-fgv","Polícia Militar","","1","baixa","sim"
"contest:pmam-soldado-2021-fgv","pmam-soldado-2021-fgv","Polícia Militar","","1","baixa","sim"
"contest:pmce-soldado-policial-militar-2021","PMCE Soldado Policial Militar 2021","Polícia Militar","PMCE","1","baixa","sim"
"contest:pmce-soldado-2021-fgv","pmce-soldado-2021-fgv","Polícia Militar","PMCE","1","baixa","sim"
"contest:pmerj-oficial-da-pm-qopm-2021","PMERJ Oficial da PM (QOPM) 2021","Polícia Militar","PMERJ","1","baixa","sim"
"contest:pmerj-cfo-2021-fgv","pmerj-cfo-2021-fgv","Polícia Militar","PMERJ","1","baixa","sim"
"contest:pmesp-cabo-2022-fgv-local","pmesp-cabo-2022-fgv-local","Polícia Militar","PMSP","1","baixa","sim"
"contest:pmesp-sargento-2024-fgv","pmesp-sargento-2024-fgv","Polícia Militar","PMSP","1","baixa","sim"
"contest:pmma-soldado-do-quadro-de-praca-policial-2017","PMMA Soldado do Quadro de Praca Policial 2017","Polícia Militar","PMMA","1","baixa","sim"
"contest:pmpb-curso-de-formacao-de-oficiais-pm-2022","PMPB Curso de Formacao de Oficiais PM 2022","Polícia Militar","","1","baixa","sim"
"contest:pmpb-cfo-2022-fgv","pmpb-cfo-2022-fgv","Polícia Militar","","1","baixa","sim"
"contest:pmpi-soldado-pm-2017","PMPI Soldado PM 2017","Polícia Militar","","1","baixa","sim"
"contest:pmsp-sargento-pm-2024","PMSP Sargento PM 2024","Polícia Militar","PMSP","1","baixa","sim"
"contest:pmsp-soldado-pm-de-2a-classe-2017","PMSP Soldado PM de 2a Classe 2017","Polícia Militar","PMSP","1","baixa","sim"
"contest:pmsp-soldado-pm-de-2a-classe-2023","PMSP Soldado PM de 2a Classe 2023","Polícia Militar","PMSP","1","baixa","sim"
"contest:pmsp-soldado-pm-de-2a-classe-2024","PMSP Soldado PM de 2a Classe 2024","Polícia Militar","PMSP","1","baixa","sim"
"contest:pmsp-soldado-pm-de-2a-classe-2025","PMSP Soldado PM de 2a Classe 2025","Polícia Militar","PMSP","1","baixa","sim"
"contest:pmto-quadro-de-pracas-da-policia-militar-2025","PMTO Quadro de Pracas da Policia Militar 2025","Polícia Militar","PMTO","1","baixa","sim"
